student_id,login_drop_pct,attendance_drop_pct,delay_increase_pct,sentiment_change,login_slope,attendance_slope,delay_slope,sentiment_slope,login_volatility,sentiment_volatility,burnout_label,dropout_label
1,-0.3401154797910366,-0.1534841354182481,2.8140975987606507,-0.25049999999999994,-0.3390735294117647,-0.8840294117647058,0.538014705882353,-0.031977941176470584,2.821469401452607,0.21688244703832843,Medium,0
2,-0.4226932668329177,0.09803329432637488,-0.09188183298441505,-0.1502500000000001,-0.1640735294117647,0.569294117647059,-0.019073529411764725,0.008502941176470592,1.9106114858861283,0.19898793933301584,High,0
3,-0.3072904837610719,-0.09748782434031314,4.137737961926092,-0.55025,-0.788014705882353,-0.5879852941176472,0.5402794117647058,-0.03443676470588235,4.654001459317921,0.19726765869413734,Low,0
4,-0.17517940059096662,0.05759820671933515,1.1207547169811323,-0.09100000000000003,-0.106985294117647,0.2987058823529412,0.03864705882352941,0.00025294117647058724,2.0205641745149627,0.10387676994079732,Low,0
5,-0.03317034491872611,-0.2242827252142509,1.6701708278580816,-0.42800000000000005,-0.21395588235294122,-1.1017205882352943,0.4386470588235294,-0.03207205882352941,2.1591355330316806,0.18415662491477194,Medium,0
6,-0.12351945854483926,-0.14388772695583651,1.3748981255093726,-0.509,-0.4251029411764706,-0.7571176470588236,0.42907352941176474,-0.039838235294117647,2.747586744156891,0.21380766278753124,Low,0
7,-0.18680275338238794,0.0223509481392426,-0.7084548104956269,0.017500000000000016,-0.21022058823529405,0.1606764705882354,-0.11658823529411765,0.008573529411764706,2.0456660488294105,0.10520384973944633,Low,0
8,-0.5078464987471978,-0.4313,8.309734513274336,-0.6735,-1.133294117647059,-4.890264705882353,1.424191176470588,-0.06631323529411765,7.106439333449629,0.4189973299437599,Medium,1
9,-0.06858870030225535,-0.0162270162270162,-0.661590524534687,-0.08499999999999996,0.03204411764705886,0.04654411764705869,-0.055470588235294105,-0.002735294117647058,1.345167740469567,0.07128803078591338,Low,0
10,-0.7290921139827701,-0.5360317597307327,10.363106796116504,-0.995,-1.2552941176470587,-4.362808823529412,1.3483823529411767,-0.06801470588235294,6.762280680362211,0.3925798220319871,High,1
11,-0.6241726618705036,-0.5962491252624212,7.545454545454545,-0.5377500000000001,-1.0800588235294117,-4.410544117647058,1.6754411764705885,-0.07500294117647058,6.9543778777592085,0.4351024208926752,High,1
12,0.09246245004822941,0.08075977412120733,-0.5201371036846616,0.06774999999999998,0.22882352941176473,0.3470147058823529,-0.024073529411764702,-0.00422794117647059,2.089835320465866,0.0892253467351066,Low,0
13,-0.6235157833767738,-0.6068350580025647,3.7974947807933197,-0.838,-1.0779264705882352,-4.441044117647059,1.1190000000000002,-0.06645294117647059,6.479849503139199,0.3695331288711925,High,0
14,-0.7206033094157271,-0.5814032312733024,5.903846153846153,-0.7195,-1.2122058823529411,-4.906617647058824,1.4522352941176473,-0.07165882352941176,6.662785078328732,0.4192905118570337,High,1
15,-0.7047656975972388,-0.5879615265280794,3.496551724137931,-1.1844999999999999,-1.2700882352941176,-4.603470588235294,1.1525441176470588,-0.06338676470588235,7.334392953748797,0.38471980604937234,High,1
